Timestamp	Filename	Error	Message
2018-06-12 12:35:04.366 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:35:04.368 -0400	Winner Check Top Row	0	script steps imported : 1
2018-06-12 12:35:04.369 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:32.348 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:32.350 -0400	Button Click 4	0	script steps imported : 1
2018-06-12 12:36:32.350 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:33.739 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:33.740 -0400	Button Click 4	0	script steps imported : 1
2018-06-12 12:36:33.740 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:35.110 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:35.111 -0400	Button Click 5	0	script steps imported : 1
2018-06-12 12:36:35.112 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:36.053 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:36.055 -0400	Button Click 5	0	script steps imported : 1
2018-06-12 12:36:36.055 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:37.518 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:37.520 -0400	Button Click 6	0	script steps imported : 1
2018-06-12 12:36:37.520 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:38.652 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:38.653 -0400	Button Click 6	0	script steps imported : 1
2018-06-12 12:36:38.653 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:40.721 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:40.723 -0400	Button Click 7	0	script steps imported : 1
2018-06-12 12:36:40.723 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:36:42.688 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:36:42.690 -0400	Button Click 7	0	script steps imported : 1
2018-06-12 12:36:42.690 -0400	TicTacToe.fmp12	0	Import completed
